研报名称,机构名称,发布时间,行业,研报地址
耐用消费产业行业研究：Meta推进AI眼镜功能订阅化，FDA授予ZYN尼古丁袋MRTP授权,国金证券,2026-07-05 00:00:00.000,消费电子,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=935YUm5WfXPZuBgIz87FLoN1/x0RIsuHE0EN7BzduRA=
全球存储投研2026,北京中俊科技,2026-07-05 00:00:00.000,消费电子,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=/m154nP6C416h3qLjjZKfOCV9+v4wF0mNOllsOoj9F4=
「智能手表」2026年6月市场月度报告,蔚云出海(广州)企业咨询,2026-07-03 00:00:00.000,消费电子,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=lfCg5GuIRBDoKH/4GRaxXzYIr5Gphk16gQnr8WGVkBU=
「智能手表」2026年6月市场月度报告,蔚云出海(广州)企业咨询,2026-07-03,消费电子,https://pdf.dfcfw.com/pdf/H3_AP202607031826682276_1.pdf?1783069207000.pdf
电子：美光财报大超预期，签署16份SCAs商业模式转型加速,太平洋,2026-06-29 00:00:00.000,消费电子,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=sNXHRqYfuq/YK3RNBqVl9D/FiKnDHrjPbB7nx08S3E8=
电子：美光财报大超预期，签署16份SCAs商业模式转型加速,太平洋,2026-06-29,消费电子,https://pdf.dfcfw.com/pdf/H3_AP202606291826526806_1.pdf?1782733495000.pdf
电子行业周报：国内封测厂迎来大扩产，美光业绩超预期,开源证券,2026-06-28 00:00:00.000,消费电子,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=w/NB8TOq3B38ISJrYF46ixqB3DIV3I5BXvLfY9lgGcI=
耐用消费产业行业研究：Meta推出自有品牌AI眼镜，618消费级3D设备耗材双爆发,国金证券,2026-06-28 00:00:00.000,消费电子,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=w/NB8TOq3B38ISJrYF46i0t7BEExdKcH3CdM1eddTHQ=
电子行业周报：国内封测厂迎来大扩产，美光业绩超预期,开源证券,2026-06-28,消费电子,https://pdf.dfcfw.com/pdf/H3_AP202606281826517737_1.pdf?1782682556000.pdf
耐用消费产业行业研究：Meta推出自有品牌AI眼镜，618消费级3D设备耗材双爆发,国金证券,2026-06-28,消费电子,https://pdf.dfcfw.com/pdf/H3_AP202606281826515860_1.pdf?1782673624000.pdf
2026年中期电子行业投资策略报告：AI风驰宇，芯浪起东方,万联证券,2026-06-26 00:00:00.000,消费电子,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=w2NNQ6TFDBV7T5E2D8Y77jq+K8RIExS8ZDIY11aQGV0=
2026年中期电子行业投资策略报告：AI风驰宇，芯浪起东方,万联证券,2026-06-26,消费电子,https://pdf.dfcfw.com/pdf/H3_AP202606261825020639_1.pdf?1782508752000.pdf
电子行业点评报告：美光携手Anthropic：AI存储由单品供货迈向全栈协同,金元证券,2026-06-25 00:00:00.000,消费电子,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=RWyjWuYit9o0p2O5Ru2r6Aht/Q8sR3fYJXrQdJA8Chw=
电子行业点评报告：美光携手Anthropic：AI存储由单品供货迈向全栈协同,金元证券,2026-06-25,消费电子,https://pdf.dfcfw.com/pdf/H3_AP202606251823833155_1.pdf?1782382544000.pdf
TMT行业周报：玻璃基板应用推进，HBM4E竞争加剧，AI算力投资持续升温,大同证券,2026-06-24 00:00:00.000,消费电子,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=F+ZhHRiImQMLRMIdpezE4IR0njPfeVStfzdO7gaNLF4=
TMT行业周报：玻璃基板应用推进，HBM4E竞争加剧，AI算力投资持续升温,大同证券,2026-06-24,消费电子,https://pdf.dfcfw.com/pdf/H3_AP202606241823797703_1.pdf?1782296414000.pdf
「智能手表&手环」2026年5月市场报告,蔚云出海(广州)企业咨询,2026-06-17 00:00:00.000,消费电子,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=ObjnBE3LxTv7iqsqRKQSbx3Lelzy807MsRQDWRC9mHI=
「智能手表&手环」2026年5月市场报告,蔚云出海(广州)企业咨询,2026-06-17,消费电子,https://pdf.dfcfw.com/pdf/H3_AP202606171823641211_1.pdf?1781727115000.pdf
全球光学超透镜行业报告,灼识投资咨询(上海),2026-06-08 00:00:00.000,消费电子,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=JbxiMuPmNPwklumuVKyO7XUO5IcWpnfpq9lvR/YHzyk=
全球边缘AI推理芯片行业报告,灼识投资咨询(上海),2026-06-08 00:00:00.000,消费电子,https://data.eastmoney.com/report/zw_industry.jshtml?encodeUrl=JbxiMuPmNPwklumuVKyO7fELJz9nVOAhr6XafS0hPXY=
全球边缘AI推理芯片行业报告,灼识投资咨询(上海),2026-06-08,消费电子,https://pdf.dfcfw.com/pdf/H3_AP202606081823357195_1.pdf?1780933412000.pdf
